Id,Random Forest Quality Prediction,Decision Tree Quality Prediction,Naive Bayes Quality Prediction
222,5,6,6
1514,5,5,5
417,5,6,5
754,5,6,4
516,6,7,7
1120,6,7,7
180,5,6,5
82,5,5,5
632,6,6,6
592,5,5,5
501,7,7,7
1586,6,6,6
1096,5,6,5
1101,6,6,6
1488,6,5,6
700,5,5,5
631,6,6,6
1022,6,5,6
1420,5,5,6
882,7,7,6
1170,6,6,6
911,6,6,5
124,5,5,5
1417,7,7,6
681,5,5,6
63,5,5,5
1010,6,6,7
418,6,6,6
399,5,6,5
1265,6,6,6
999,6,6,6
452,5,6,6
347,7,7,7
778,6,6,6
607,5,6,6
32,5,5,5
511,5,6,5
1035,6,6,6
1270,7,6,7
723,5,6,4
838,6,6,6
485,6,5,5
142,6,6,7
1470,5,5,5
1238,5,5,5
158,5,5,5
426,6,5,6
344,6,6,6
637,5,5,5
1578,6,6,6
944,7,6,7
469,5,5,5
148,5,5,6
279,6,6,5
1144,6,6,6
509,6,6,7
1073,6,6,6
1423,6,6,6
280,6,6,6
848,5,6,6
650,5,5,6
1092,6,6,6
76,6,6,6
1302,6,6,6
1148,6,6,6
100,5,6,6
533,6,6,7
1328,5,5,6
253,5,5,5
1344,6,6,6
544,6,6,8
352,5,5,5
1367,5,5,5
1300,6,6,6
635,5,6,5
750,5,5,5
1479,6,6,6
476,6,6,6
1355,5,5,6
546,5,6,6
196,5,6,6
1210,6,6,6
43,6,5,6
1013,5,5,5
1378,5,5,6
471,6,6,6
1410,5,4,4
1004,5,5,6
740,6,6,6
697,5,6,6
127,5,4,3
1069,6,6,6
1319,5,5,4
741,5,5,5
626,5,5,5
621,5,5,5
1195,5,6,6
339,6,6,6
556,6,6,7
162,5,5,6
1555,6,6,6
695,6,6,6
457,5,5,5
1045,6,5,6
12,5,5,6
524,5,5,5
489,6,6,6
453,6,6,7
1282,6,6,6
423,6,6,8
290,6,6,6
744,5,5,5
435,5,5,6
955,6,6,6
1055,5,6,5
819,5,5,5
302,6,5,6
455,6,6,7
1274,6,6,6
710,5,5,5
1568,5,6,5
72,5,5,5
156,5,5,5
86,5,6,4
1252,5,5,5
1280,6,6,6
1130,6,5,6
1499,6,6,6
1434,5,5,5
564,6,6,7
1559,5,5,5
396,5,5,5
1081,7,6,5
293,6,6,6
652,7,7,7
1312,5,5,3
120,5,5,5
220,5,6,6
1391,6,6,6
1324,6,6,6
492,7,7,7
427,5,6,6
596,6,6,6
771,5,5,5
538,6,6,7
107,5,6,6
1436,5,5,5
193,5,5,6
1370,5,5,4
843,5,5,5
506,6,6,7
388,5,6,6
197,6,6,8
655,5,6,5
1508,6,6,6
799,5,6,6
194,5,5,6
1414,6,6,6
1059,6,6,7
1487,6,6,6
565,6,5,6
1333,5,5,5
1250,6,6,6
871,6,6,6
421,6,6,6
1336,5,5,6
1224,6,6,7
813,6,6,6
249,6,5,6
721,5,5,5
1026,6,6,6
781,5,6,6
808,5,6,5
809,5,5,6
111,5,5,5
766,5,5,5
1070,7,6,7
497,6,6,5
292,6,6,6
1529,5,5,5
1060,6,6,7
56,5,6,6
42,6,6,4
1535,5,6,6
190,5,5,5
79,5,5,5
1219,6,6,6
1384,5,5,5
269,6,6,7
833,6,6,5
1379,6,6,6
551,6,6,6
947,7,6,7
3,5,5,6
934,6,6,6
749,6,6,6
1553,5,5,5
1036,6,6,7
1107,7,7,7
1168,6,6,6
1577,6,6,6
1291,6,6,6
578,5,5,5
85,5,6,6
1089,6,6,6
366,6,6,7
90,5,5,5
752,5,6,5
1590,6,7,6
617,6,6,6
146,5,5,5
241,6,6,7
790,5,6,6
1116,6,6,6
392,5,5,6
770,5,5,5
395,6,6,7
306,5,5,5
416,6,6,6
512,5,6,6
729,6,4,6
1415,6,6,6
677,5,5,5
793,6,5,6
94,5,6,5
466,6,7,6
96,6,6,6
325,5,6,5
1359,6,6,6
16,5,6,5
1076,6,6,7
900,6,6,6
1556,5,5,5
1057,5,5,5
877,6,6,6
953,6,6,7
1400,5,5,5
1127,6,6,6
260,6,6,6
608,5,6,5
1549,6,6,6
376,6,6,7
1048,6,6,6
1485,5,5,6
1471,6,6,6
1110,6,6,6
1493,5,5,5
1019,6,6,6
1078,6,6,7
1152,5,5,5
1395,5,5,5
1277,5,5,5
1321,6,6,4
1234,6,6,6
412,5,5,5
1111,6,6,6
335,6,7,6
1526,6,6,6
2,5,5,5
6,5,5,5
1281,6,6,6
745,6,6,6
1008,6,6,7
298,5,6,6
415,5,5,5
736,5,5,3
679,6,6,6
1220,6,7,6
439,5,6,5
989,6,5,6
500,5,6,6
1053,7,7,7
611,5,5,6
1335,6,6,6
595,5,5,5
361,6,6,6
35,5,5,5
1237,6,6,6
67,6,6,6
155,5,5,5
80,5,5,6
1147,6,6,7
296,5,5,5
170,5,5,5
1439,6,5,5
946,6,7,7
